candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
Brantford CYO-Lynch,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.811,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Elevation Athletics U10G- Asante,Ontario,OBL,1,,obl-teams,Elevation Athletics,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Beltijar,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.571,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals- Rodger,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Waito,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Bulldogs Thomas,Ontario,OBL,1,,obl-teams,DC United - HGSL,0.438,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - GLEZAKOS,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Lalog,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.48,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Piracha,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.593,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U11B,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Bulldogs Smith,Ontario,OBL,1,,obl-teams,DC United - HGSL,0.462,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TCBL Dragons - coach Kareem,Ontario,OBL,1,,obl-teams,TCBL Basketball,0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
St. Clair . Saints,Ontario,OBL,1,,obl-teams,"Silverthorn CI Spartans (SCI, TDSB)",0.526,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS GIRRARD,Ontario,OBL,1,,obl-teams,Rising Stars,0.645,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Skillz,Ontario,OBL,1,,obl-teams,Skillz Basketball Lab,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U11 Boys,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.286,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
