club,league,entry_detail
C.O.D.E. Academy (Provincial + International),OSBA,Trillium Men's (entry 2)
C.O.D.E. Academy (Provincial + International),OSBA,D-League Boys
C.O.D.E. Academy (Provincial + International),OSBA,D-League Girls
St. Jude's Academy (Blue + White in Trillium),OSBA,OSBA Women's
St. Jude's Academy (Blue + White in Trillium),OSBA,Trillium Men's (entry 1)
St. Jude's Academy (Blue + White in Trillium),OSBA,Trillium Men's (entry 2)
St. Jude's Academy (Blue + White in Trillium),OSBA,D-League Boys
St. Jude's Academy (Blue + White in Trillium),OSBA,D-League Girls
Brampton City Prep (Nat/Prov + Reg/North + South),OSBA,OSBA Men's
Brampton City Prep (Nat/Prov + Reg/North + South),OSBA,Trillium Men's (entry 1)
Brampton City Prep (Nat/Prov + Reg/North + South),OSBA,Trillium Men's (entry 2)
Brampton City Prep (Nat/Prov + Reg/North + South),OSBA,D-League Boys (entry 1)
Brampton City Prep (Nat/Prov + Reg/North + South),OSBA,D-League Boys (entry 2)
Royal Crown School,OSBA,OSBA Men's
Royal Crown School,OSBA,OSBA Women's
Royal Crown School,OSBA,D-League Boys
Royal Crown School,OSBA,D-League Girls
Lincoln Prep,OSBA,OSBA Men's
Lincoln Prep,OSBA,OSBA Women's
Lincoln Prep,OSBA,D-League Boys
Lincoln Prep,OSBA,D-League Girls
Crestwood Prep (incl. Blue in W),OSBA,OSBA Men's
Crestwood Prep (incl. Blue in W),OSBA,OSBA Women's (entry 1)
Crestwood Prep (incl. Blue in W),OSBA,OSBA Women's (entry 2)
Crestwood Prep (incl. Blue in W),OSBA,D-League Boys
Orangeville Prep / Athlete Institute,OSBA,OSBA Men's
Orangeville Prep / Athlete Institute,OSBA,OSBA Women's
Orangeville Prep / Athlete Institute,OSBA,Trillium Men's
Orangeville Prep / Athlete Institute,OSBA,D-League Girls
Victory Academy / Victory Prep (East + West),OSBA,Trillium Men's (entry 1)
Victory Academy / Victory Prep (East + West),OSBA,Trillium Men's (entry 2)
Victory Academy / Victory Prep (East + West),OSBA,D-League Boys
Victory Academy / Victory Prep (East + West),OSBA,D-League Girls
Fort Erie International Academy,OSBA,OSBA Men's
Fort Erie International Academy,OSBA,OSBA Women's
Fort Erie International Academy,OSBA,D-League Girls
Hodan Prep (incl. Nighthawks),OSBA,OSBA Men's
Hodan Prep (incl. Nighthawks),OSBA,Trillium Men's
Hodan Prep (incl. Nighthawks),OSBA,D-League Boys
William Academy (incl. Cobourg),OSBA,OSBA Men's
William Academy (incl. Cobourg),OSBA,Trillium Men's
William Academy (incl. Cobourg),OSBA,D-League Girls
Canada Topflight Academy (Gold + Red),OSBA,OSBA Men's
Canada Topflight Academy (Gold + Red),OSBA,Trillium Men's
Canada Topflight Academy (Gold + Red),OSBA,D-League Boys
Polaris Prep Academy (Gold + Black),OSBA,OSBA Men's
Polaris Prep Academy (Gold + Black),OSBA,Trillium Men's (entry 1)
Polaris Prep Academy (Gold + Black),OSBA,Trillium Men's (entry 2)
King Heights Academy,OSBA,Trillium Men's
King Heights Academy,OSBA,D-League Boys
King Heights Academy,OSBA,D-League Girls
Future Hope Academy,OSBA,Trillium Men's
Future Hope Academy,OSBA,D-League Boys
Future Hope Academy,OSBA,D-League Girls
Colts Prep,OSBA,OSBA Women's
Colts Prep,OSBA,D-League Boys
Colts Prep,OSBA,D-League Girls
Father Henry Carr (Jr. Prep + Freshmen Prep),OSBA,Trillium Men's
